ssrn_id,status,pdf_relpath,bytes,sha256,title,authors,year,doi,ssrn_url,download_url,error,source
4068814,collected,,,,Big Data Asset Pricing 6: Asset Pricing with Frictions,"Pedersen, Lasse Heje",2022,10.2139/ssrn.4068814,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4068814,,,crossref
3568777,collected,,,,Asset Pricing in Mercati Completi (Asset Pricing in Complete Markets),"Miceli, Maria-Augusta",2025,10.2139/ssrn.3568777,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3568777,,,crossref
4068797,collected,,,,Big Data Asset Pricing 5: Machine Learning in Asset Pricing,"Pedersen, Lasse Heje",2022,10.2139/ssrn.4068797,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4068797,,,crossref
3522433,collected,,,,"Asset Pricing, Asset Allocation and Risk-Adjusted Performance with Multiple Goals and Agency: The Goals and Risk-based Asset Pricing Model","Muralidhar, Arun",2020,10.2139/ssrn.3522433,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3522433,,,crossref
938167,collected,,,,Improving the Asset Pricing Ability of the Consumption-Capital Asset Pricing Model?,"Rasmussen, Anne-Sofie Reng",2006,10.2139/ssrn.938167,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=938167,,,crossref
4068545,collected,,,,Big Data Asset Pricing Lecture 1: A Primer on Asset Pricing (Presentation Slides),"Pedersen, Lasse Heje",2022,10.2139/ssrn.4068545,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4068545,,,crossref
1577006,collected_meta_error,,,,Capital Asset Pricing Model &amp; Adjusted Capital Asset Pricing Model,"Khalife Soltani, Ahmad; eslamzade, omid; Nooryan, Saeid",2010,10.2139/ssrn.1577006,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1577006,,HTTPError: 429 Client Error: Too Many Requests for url: https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1577006,crossref
4068783,collected_meta_error,,,,Big Data Asset Pricing Lecture 2: A Primer on Empirical Asset Pricing (Presentation Slides),"Pedersen, Lasse Heje",2022,10.2139/ssrn.4068783,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4068783,,HTTPError: 429 Client Error: Too Many Requests for url: https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4068783,crossref
3051726,collected_meta_error,,,,A Very Simple Goals - and Risk-Based Asset Pricing Model (or Asset Pricing with Heterogeneous Investors),"Muralidhar, Arun",2017,10.2139/ssrn.3051726,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3051726,,HTTPError: 429 Client Error: Too Many Requests for url: https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3051726,crossref
2369385,collected_meta_error,,,,The Relative Asset Pricing Model: Towards a Unified Theory of Asset Pricing,"Muralidhar, Arun; Shin, Sung Hwan; Ohashi, Kazuhiko",2013,10.2139/ssrn.2369385,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2369385,,HTTPError: 429 Client Error: Too Many Requests for url: https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2369385,crossref
4768521,collected_meta_error,,,,"Asset Pricing, not Stock Pricing","Wang, Chunjie",2024,10.2139/ssrn.4768521,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4768521,,HTTPError: 429 Client Error: Too Many Requests for url: https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4768521,crossref
2056054,collected_meta_error,,,,Empirical Asset Pricing for Tactical Asset Allocation,"Rush, Stephen",2012,10.2139/ssrn.2056054,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2056054,,HTTPError: 429 Client Error: Too Many Requests for url: https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2056054,crossref
1914487,collected_meta_error,,,,Asset Pricing with Fixed Asset Supply,"Dam, Lammertjan; Heijnen, Pim",2011,10.2139/ssrn.1914487,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1914487,,HTTPError: 429 Client Error: Too Many Requests for url: https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1914487,crossref
2598476,collected_meta_error,,,,The Time Contradiction in Asset Pricing and Asset Management,"Muralidhar, Arun",2015,10.2139/ssrn.2598476,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2598476,,HTTPError: 429 Client Error: Too Many Requests for url: https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2598476,crossref
2083290,collected_meta_error,,,,What Do Asset Pricing Models Say About Asset Prices?,"Pohl, Walt",2012,10.2139/ssrn.2083290,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2083290,,HTTPError: 429 Client Error: Too Many Requests for url: https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2083290,crossref
2024771,collected_meta_error,,,,What Do Asset Pricing Models Say About Asset Prices?,"Pohl, Walt",2012,10.2139/ssrn.2024771,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2024771,,HTTPError: 429 Client Error: Too Many Requests for url: https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2024771,crossref
302741,collected_meta_error,,,,"Conditional Asset Allocation, Hedging and Intertemporal Asset Pricing","Gerard, Bruno; Wu, Guojun",2002,10.2139/ssrn.302741,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=302741,,HTTPError: 429 Client Error: Too Many Requests for url: https://papers.ssrn.com/sol3/papers.cfm?abstract_id=302741,crossref
703861,collected_meta_error,,,,Asset Pricing and Investor Risk in Subordinated Asset Securitisation,"Jobst, Andreas A.",2005,10.2139/ssrn.703861,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=703861,,HTTPError: 429 Client Error: Too Many Requests for url: https://papers.ssrn.com/sol3/papers.cfm?abstract_id=703861,crossref
1961660,collected_meta_error,,,,Comparative Testing of Capital Asset Pricing Model (CAPM) and Shari’a Compliant Asset Pricing Model (SCAPM): Evidence from Karachi Stock Exchange - Pakistan,"Hanif, Muhammad; Dar, Abubakar Javaid",2011,10.2139/ssrn.1961660,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1961660,,HTTPError: 429 Client Error: Too Many Requests for url: https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1961660,crossref
5265205,collected_meta_error,,,,The asset pricing implications of dynamic asset supply in endowment economies,"Claassen, Bart",2025,10.2139/ssrn.5265205,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5265205,,HTTPError: 429 Client Error: Too Many Requests for url: https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5265205,crossref
249990,collected_meta_error,,,,A Shrinkage Theory of Asset Allocation Using Asset-pricing Models,"Wang, Zhenyu NMI",2000,10.2139/ssrn.249990,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=249990,,HTTPError: 429 Client Error: Too Many Requests for url: https://papers.ssrn.com/sol3/papers.cfm?abstract_id=249990,crossref
3418352,collected_meta_error,,,,Asset Pricing vs Asset Expected Returning in Factor Models,"Favero, Carlo A.; Melone, Alessandro",2019,10.2139/ssrn.3418352,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3418352,,HTTPError: 429 Client Error: Too Many Requests for url: https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3418352,crossref
3356609,collected_meta_error,,,,Lezioni di scelta in condizioni di incertezza e asset pricing: Stati di natura discreti e mercati completi. (Choice under Uncertainty and Asset Pricing: Complete Markets),"Miceli, Maria-Augusta",2019,10.2139/ssrn.3356609,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3356609,,HTTPError: 429 Client Error: Too Many Requests for url: https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3356609,crossref
1804879,collected_meta_error,,,,Noncausality and Asset Pricing,"Lof, Matthijs",2011,10.2139/ssrn.1804879,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1804879,,HTTPError: 429 Client Error: Too Many Requests for url: https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1804879,crossref
5221064,collected_meta_error,,,,Ideology and Asset Pricing *,"Li, Jiaen",2025,10.2139/ssrn.5221064,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5221064,,HTTPError: 429 Client Error: Too Many Requests for url: https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5221064,crossref
4758695,collected_meta_error,,,,Green Intermediary Asset Pricing,"Sauzet, Maxime",2024,10.2139/ssrn.4758695,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4758695,,HTTPError: 429 Client Error: Too Many Requests for url: https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4758695,crossref
2353809,collected_meta_error,,,,Asset Pricing and Truth,"Andrikopoulos, Andreas",2013,10.2139/ssrn.2353809,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2353809,,HTTPError: 429 Client Error: Too Many Requests for url: https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2353809,crossref
499441,collected_meta_error,,,,Capital Asset Pricing Model,"Falahati, Kazem",2004,10.2139/ssrn.499441,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=499441,,HTTPError: 429 Client Error: Too Many Requests for url: https://papers.ssrn.com/sol3/papers.cfm?abstract_id=499441,crossref
3258119,collected_meta_error,,,,Heterogeneous Intermediary Asset Pricing,"Kargar, Mahyar",2018,10.2139/ssrn.3258119,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3258119,,HTTPError: 429 Client Error: Too Many Requests for url: https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3258119,crossref
4826776,collected_meta_error,,,,Comparing Asset Pricing Models,"Nteventzis, Dimitrios",2024,10.2139/ssrn.4826776,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4826776,,HTTPError: 429 Client Error: Too Many Requests for url: https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4826776,crossref
